Facility complex #ZB400056Q;65661.934;65661.933;62650.020
Facility complex #XF400019H;20410.841;18775.731;17900.030
Facility complex #IE400061L;39968.118;39968.117;38331.822
Facility complex #AL400026K;17065.700;15552.533;15302.448
Plant #DZ300039T;10935.440;10926.490;10467.358
Facility complex #WI400023I;10520.126;9989.061;9525.368
Plant #OW300099C;10652.315;10648.362;10250.326
Plant #TF300295S;10948.552;10909.536;10506.755
Facility complex #XA400003F;14823.268;14706.833;14517.114
Facility complex #HF400018H;10977.217;9924.198;9667.855
